Symbol,CompanyName,Sector,Industry,MarketCapCr,CapCategory
GREENPLY,Greenply Industries Limited,Basic Materials,Lumber & Wood Production,3592.0,Small Cap
GREENPOWER,Orient Green Power Company Limited,Utilities,Utilities - Independent Power Producers,1103.0,Small Cap
GRINDWELL,Grindwell Norton Limited,Industrials,Building Products & Equipment,22266.0,Mid Cap
GRINFRA,G R Infraprojects Limited,Industrials,Engineering & Construction,8592.0,Small Cap
GRMOVER,GRM Overseas Limited,Consumer Defensive,Packaged Foods,1844.0,Small Cap
GROBTEA,The Grob Tea Company Limited,Consumer Defensive,Farm Products,110.0,Small Cap
GROWW,Billionbrains Garage Ventures Limited,Financial Services,Capital Markets,125441.0,Large Cap
GRPLTD,GRP Limited,Consumer Cyclical,Auto Parts,1060.0,Small Cap
GRSE,Garden Reach Shipbuilders & Engineers Limited,Industrials,Aerospace & Defense,29637.0,Mid Cap
GRWRHITECH,Garware Hi-Tech Films Limited,Basic Materials,Specialty Chemicals,16762.0,Mid Cap
GSFC,Gujarat State Fertilizers & Chemicals Limited,Basic Materials,Agricultural Inputs,6341.0,Small Cap
GSLSU,Global Surfaces Limited,Basic Materials,Building Materials,129.0,Small Cap
GSPCROP,GSP Crop Science Limited,Basic Materials,Agricultural Inputs,3006.0,Small Cap
GSS,GSS Infotech Limited,Technology,Information Technology Services,33.0,Small Cap
GTL,GTL Limited,Communication Services,Telecom Services,118.0,Small Cap
GTLINFRA,GTL Infrastructure Limited,Technology,Communication Equipment,1550.0,Small Cap
GTPL,GTPL Hathway Limited,Communication Services,Entertainment,620.0,Small Cap
GUFICBIO,Gufic Biosciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4161.0,Small Cap
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Basic Materials,Chemicals,5349.0,Small Cap
GUJAPOLLO,Gujarat Apollo Industries Limited,Industrials,Specialty Industrial Machinery,450.0,Small Cap
GUJENERGY,Gujarat Energy Limited,Utilities,Utilities - Regulated Gas,23986.0,Mid Cap
GUJRAFFIA,Gujarat Raffia Industries Limited,,,,Unknown
GUJTHEM,Gujarat Themis Biosyn Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4465.0,Small Cap
GULFOILLUB,Gulf Oil Lubricants India Limited,Basic Materials,Specialty Chemicals,5685.0,Small Cap
GULPOLY,Gulshan Polyols Limited,Basic Materials,Chemicals,1225.0,Small Cap
GVPIL,GE Power India Limited,Industrials,Engineering & Construction,4364.0,Small Cap
GVPTECH,GVP Infotech Limited,Technology,Information Technology Services,120.0,Small Cap
GVT&D,GE Vernova T&D India Limited,Industrials,Specialty Industrial Machinery,105937.0,Large Cap
GYFTR,Gyftr Limited,Industrials,Specialty Business Services,1244.0,Small Cap
HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,326061.0,Large Cap
HALDER,Halder Venture Limited,Consumer Defensive,Farm Products,370.0,Small Cap
HALEOSLABS,Haleos Labs Limited,Healthcare,Biotechnology,453.0,Small Cap
HAPPSTMNDS,Happiest Minds Technologies Limited,Technology,Information Technology Services,6522.0,Small Cap
HAPPYFORGE,,Industrials,Metal Fabrication,20381.0,Mid Cap
HARDWYN,Hardwyn India Limited,Industrials,Building Products & Equipment,622.0,Small Cap
HARIOMPIPE,Hariom Pipe Industries Limited,Basic Materials,Steel,1070.0,Small Cap
HARRMALAYA,Harrisons Malayalam Limited,Consumer Defensive,Farm Products,368.0,Small Cap
HARSHA,Harsha Engineers International Limited,Industrials,Tools & Accessories,3909.0,Small Cap
HATHWAY,Hathway Cable and Datacom Limited,Communication Services,Entertainment,1866.0,Small Cap
HATSUN,Hatsun Agro Product Limited,Consumer Defensive,Packaged Foods,23109.0,Mid Cap
HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts,79374.0,Large Cap
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Consumer Cyclical,Lodging,22.0,Small Cap
HAWKINCOOK,Hawkins Cookers Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4334.0,Small Cap
HBESD,HB Estate Developers Limited,Unknown,Unknown,,Unknown
HBLENGINE,,Industrials,Electrical Equipment & Parts,19275.0,Mid Cap
HBSL,HB Stockholdings Limited,Financial Services,Capital Markets,38.0,Small Cap
HCC,Hindustan Construction Company Limited,Industrials,Engineering & Construction,5944.0,Small Cap
HCG,HealthCare Global Enterprises Limited,Healthcare,Medical Care Facilities,10881.0,Small Cap
